A1:1
C10:1
C11:1
C12:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D10:1
D11:1
D12:1
D13:1
D14:1
D15:1
D16:1
D17:1
D18:1
D19:1
D2:1
D20:1
D21:1
D22:1
D23:1
D24:1
D3:1
D4:1
D5:1
D6:1
D7:1
D8:1
D9:1
G***:6
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
J1:1
J2:1
J3:1
J4:1
J5:1
KIBUZZARD-6A2F9E22:1
KIBUZZARD-6A2FA9C2:1
KIBUZZARD-6A2FA9CB:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED14:1
LED15:1
LED16:1
LED17:1
LED18:1
LED19:1
LED2:1
LED20:1
LED21:1
LED3:1
LED4:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
O1:1
R5:1
R6:1
R7:1
R8:1
RENC1:1
RENC2:1
ST_LA1:1
ST_LA2:1
ST_LE1:1
SW_LA1:1
SW_LA2:1
SW_LB1:1
SW_LB2:1
SW_LB3:1
SW_LB4:1
SW_LC1:1
SW_LC2:1
SW_LC3:1
SW_LC4:1
SW_LD1:1
SW_LD2:1
SW_LD3:1
SW_LD4:1
SW_LE1:1
SW_LE2:1
SW_MOD1:1
SW_RA1:1
SW_RA2:1
SW_RB1:1
SW_RB2:1
SW_RB3:1
TP1:1
TP2:1
TP_3V1:1
TP_GND1:1
TP_KCOL1:1
TP_KCOL2:1
TP_KCOL3:1
TP_KCOL4:1
TP_KROW1:1
TP_KROW2:1
TP_KROW3:1
TP_KROW4:1
TP_KROW5:1
TP_KROW6:1
TP_LED1:1
TP_LED2:1
TP_VBUS1:1
U2:1
U3:1
